model_alias,model_name,task_id,task_name,status,latency_s,prompt_tokens,completion_tokens,total_tokens,tokens_per_sec,cost_usd,error,response_snippet
qwen,Qwen/Qwen2.5-7B-Instruct,1,Summarization,success,2.8140,28,185,213,75.67,0.000156,,Transformer neural networks are a type of deep learning model that rely entirely on self-attention mechanisms to process sequential data. They consist of encoder and decoder...
qwen,Qwen/Qwen2.5-7B-Instruct,2,Code Generation,success,3.2450,34,220,254,78.27,0.000180,,from fastapi import FastAPI from typing import List from pydantic import BaseModel app = FastAPI() class User(BaseModel):     id: int     name: str     email: str fake_db...
qwen,Qwen/Qwen2.5-7B-Instruct,3,Translation,success,1.9820,24,45,69,34.81,0.000040,,"인공지능은 모든 산업을 변화시키고 있습니다."
qwen,Qwen/Qwen2.5-7B-Instruct,4,Math Explanation,success,3.5610,28,210,238,66.83,0.000174,,Imagine you're hiking in the mountains and you want to get to the lowest valley. Gradient descent is like taking small steps downhill...
qwen,Qwen2.5-7B-Instruct,5,Business E-mail,success,2.9340,24,195,219,74.64,0.000160,,Subject: Request for Project Status Meeting – Monday Dear [Name], I hope this message finds you well. I am writing to request a brief meeting on Monday to discuss the current...
gpt-mini,gpt-4o-mini,1,Summarization,success,1.1230,28,120,148,131.79,0.000076,,Transformer neural networks are a sequence-to-sequence architecture that use self-attention mechanisms to process input tokens in parallel...
gpt-mini,gpt-4o-mini,2,Code Generation,success,1.3540,34,175,209,154.35,0.000110,,from fastapi import FastAPI from pydantic import BaseModel from typing import List app = FastAPI() class User(BaseModel):     id: int     name: str     email: str users_db...
gpt-mini,gpt-4o-mini,3,Translation,success,0.8920,24,18,42,47.09,0.000015,,"인공지능은 모든 산업을 변화시키고 있습니다."
gpt-mini,gpt-4o-mini,4,Math Explanation,success,1.2110,28,160,188,155.24,0.000100,,Gradient descent is an optimization algorithm used to minimize a function. Think of it like rolling a ball down a hill — at each step you move in the direction...
gpt-mini,gpt-4o-mini,5,Business E-mail,success,1.0450,24,145,169,161.72,0.000091,,Subject: Meeting Request – Project Status Update Dear [Recipient's Name], I hope you are doing well. I wanted to reach out to schedule a brief meeting on Monday...
